distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.11424610629940803,39,6,6,0,1,A3.1-A4.1
0.08778704861556423,19,5,6,0,0,A3.1-A4.1
0.03794107654546212,8,3,0,0,0,A3.1-A4.1
0.05641615880476631,11,1,3,1,1,A3.1-A4.1
0.030957443057088307,10,4,2,0,0,A3.1-A4.1
0.011613244758625983,10,4,2,0,0,A3.1-A4.1
0.06570366372174519,12,3,4,1,0,A3.1-A4.1
0.056295549690280826,13,0,4,0,0,A3.1-A4.1
0.13135595333632719,37,7,10,1,0,A3.1-A4.1
0.13135595333632719,37,7,10,1,0,A3.1-A4.1
0.055013174784310656,13,1,2,1,0,A3.1-A4.1
0.019857962337847777,3,1,2,1,0,A3.1-A4.1
0.10034537133210342,21,7,6,9,1,A3.1-A4.1
0.09526271965110227,17,6,5,9,1,A3.1-A4.1
0.020453035908477923,4,1,1,0,0,A3.1-A4.1
0.053896135493662574,11,4,2,1,0,A3.1-A4.1
0.07466038848806429,20,2,4,0,0,A3.1-A4.1
0.1976134398644848,35,13,9,1,1,A3.1-A4.1
0.06236541791260397,49,10,11,1,2,A3.1-A4.1
0.10826282779280602,48,13,13,1,1,A3.1-A4.1
0.10826282779280602,48,13,13,1,1,A3.1-A4.1
0.06236541791260397,49,10,11,1,2,A3.1-A4.1
0.059607225602481634,13,1,4,0,0,A3.1-A4.1
0.046149347021362794,9,3,1,0,1,A3.1-A4.1
0.0010858904200415193,1,0,0,0,0,A3.1-A4.1
0.0010858904200415193,1,0,0,0,0,A3.1-A4.1
0.14209392034333412,35,4,5,2,0,A3.1-A4.1
0.018311856907996926,5,0,1,0,0,A3.1-A4.1
0.0021683658012316425,1,0,0,0,0,A3.1-A4.1
0.002981353447756919,1,0,0,0,0,A3.1-A4.1
0.00953445991731066,3,0,0,0,0,A3.1-A4.1
0.0052842183496177465,2,0,0,0,0,A3.1-A4.1
0.11782830199485829,43,10,6,0,2,A3.1-A4.1
0.00698722503323179,3,0,0,0,0,A3.1-A4.1
0.024944390670509988,11,0,0,0,0,A3.1-A4.1
0.017250022921561643,5,0,0,0,0,A3.1-A4.1
0.051501873035797924,18,0,0,0,0,A3.1-A4.1
0.051995645457614315,16,0,0,0,0,A3.1-A4.1
0.016825109642879005,5,0,0,0,0,A3.1-A4.1
0.01938224207441901,10,0,0,0,0,A3.1-A4.1
0.0348929913242855,15,0,0,0,0,A3.1-A4.1
0.0348929913242855,15,0,0,0,0,A3.1-A4.1
0.016906694998344154,5,0,0,0,0,A3.1-A4.1
